action step time popS popI popR
- 0 0.0 70 5 0
SIR 1 0.8640354223045161 69 6 0
SIR 2 3.538370028551428 69 5 1
SIR 3 3.5912071184794496 69 4 2
SIR 4 4.338890636393962 68 5 2
SIR 5 5.115438226310496 68 4 3
SIR 6 5.753466585945175 67 5 3
SIR 7 7.562513574725237 67 4 4
SIR 8 8.858754825432937 67 3 5
SIR 9 8.916904439773477 66 4 5
SIR 10 11.14430995021478 66 3 6
SIR 11 13.43227804893512 66 2 7
SIR 12 14.139657834792628 66 1 8
SIR 13 24.841085028046876 65 2 8
SIR 14 25.133858860415685 65 1 9
SIR 15 34.82094140322073 64 2 9
SIR 16 36.55879971985706 64 1 10
SIR 17 40.42264793930451 63 2 10
SIR 18 42.168017364637585 63 1 11
SIR 19 56.915755672144854 62 2 11
SIR 20 59.826613028408964 62 1 12
SIR 21 75.33878270510517 62 0 13
